participantID,gender,maritalStatus,age,housing,townType,governorate,employment ,workLocation,education,beforeIncome,afterIncome,haveGarden,timeInGardenYN,whyNoTimeInGarden,aloneInGarden,familyInGarden,kidsInGarden,neighborsInGarden,friendsInGarden,afterGardenRelaxing,afterGardenExercising,afterGardenGardening,afterGardenOrchard,afterGardenOrnamentals,afterGardenLandscaping,afterGardenLivestock,afterGardenBirdPhotography,afterGardenHarvesting,visitGreenspace,whyNoVisitGreenspace,aloneGreenspace,familyGreenspace,kidsGreenspace,neighborsGreenspace,friendsGreenspace,walkingGreenspace,bicyclingGreenspace,carGreenspace,busGreenspace,taxiGreenspace,distanceGreenspace_under0.5,distanceGreenspace_0.5to1,distanceGreenspace_1to2,distanceGreenspace_over2,afterGreenspaceExercise,afterGreenspaceRelaxing,afterGreenspaceBirdPhotography,afterGreenspaceHarvesting,visitNatural,whyNoVisitNatural,aloneNatural,familyNatural,kidsNatural,neighborsNatural,friendsNatural,walkingNatural,bicyclingNatural,carNatural,busNatural,taxiNatural,distanceNatural_under0.5,distanceNatural_0.5to1,distanceNatural_1to2,distanceNatural_2to4,distanceNatural_over4,afterNaturalExercise,afterNaturalRelaxing,afterNaturalBirdPhotography,afterNaturalScenery,afterNaturalHarvesting,afterNaturalGathering,afterNaturalHistoric,afterNaturalCamping,afterNaturalLandscaping,afterNaturalCultivation,afterNaturalOrchard,afterNaturalLivestock
553,Female,Single, 56 - 65,House,City,Bethlehem,Unemployed,,Bachelor,I have no income,I have no income,No,,,,,,,,,,,,,,,,,Yes,,,Before the pandemic,,,After the pandemic occurred,"Before the pandemic, After the pandemic occurred",,,,,"Before the pandemic, After the pandemic occurred",,,,Much more often,Much more often,Much more often,Much more often,Yes,,After the pandemic occurred,Before the pandemic,,,,"Before the pandemic, After the pandemic occurred",,,,,"Before the pandemic, After the pandemic occurred",,,,,Much more often,Much more often,About the same,Much more often,Much more often,Much more often,Much more often,Much more often,Much less,Less often,Less often,Less often
554,Female,Single,46 - 55,House,City,Qalqelyah,Teacher,Inside the West Bank,PhD or more,"More than 8,000 NIS",The same,Yes,Yes,,Before the pandemic,,,,,Much more often,I don't do this activity,I don't do this activity,I don't do this activity,Much more often,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,No,Mainly because there is no urban park/green/open spaces in my town,,,,,,,,,,,,,,,,,,,Yes,,,Before the pandemic,,,,,,Before the pandemic,,,,,,,Before the pandemic,I don't do this activity,Much less,I don't do this activity,Much less,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity
555,Male,Married, 56 - 65,House,City,Bethlehem,Private Sector Employee,Inside the West Bank,Diploma,"2,001 - 4,000 NIS",The same,Yes,Yes,,,"Before the pandemic, After the pandemic occurred",,,,About the same,About the same,About the same,About the same,About the same,About the same,About the same,About the same,I don't do this activity,Yes,,,,,,"Before the pandemic, After the pandemic occurred",,,"Before the pandemic, After the pandemic occurred",,,,,,"Before the pandemic, After the pandemic occurred",About the same,About the same,About the same,I don't do this activity,Yes,,,,,,"Before the pandemic, After the pandemic occurred",,,"Before the pandemic, After the pandemic occurred",,,,,,,"Before the pandemic, After the pandemic occurred",About the same,About the same,About the same,About the same,I don't do this activity,I don't do this activity,About the same,About the same,About the same,About the same,About the same,About the same
556,Female,Other, 26 - 35,Apartment,City,Ramallah,Governmental Employee,Inside the West Bank,Bachelor,"4,001 - 6,000 NIS",The same,No,,,,,,,,,,,,,,,,,Yes,,After the pandemic occurred,Before the pandemic,Before the pandemic,Before the pandemic,After the pandemic occurred,After the pandemic occurred,,"Before the pandemic, After the pandemic occurred",,Before the pandemic,,,,"Before the pandemic, After the pandemic occurred",About the same,More often,Much more often,More often,Yes,,After the pandemic occurred,,"Before the pandemic, After the pandemic occurred",,,,,"Before the pandemic, After the pandemic occurred",,,,,,"Before the pandemic, After the pandemic occurred",After the pandemic occurred,More often,More often,More often,More often,More often,More often,More often,Less often,About the same,About the same,More often,I don't do this activity
557,Female,Single, 26 - 35,House,Town,Salfit,NGO Employee,Inside the West Bank,Bachelor,"2,001 - 4,000 NIS",Decreased,Yes,Yes,,,"Before the pandemic, After the pandemic occurred",,,,About the same,More often,More often,More often,More often,More often,I don't do this activity,About the same,I don't do this activity,Yes,,,"Before the pandemic, After the pandemic occurred",,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,,,,,,"Before the pandemic, After the pandemic occurred",,About the same,About the same,About the same,I don't do this activity,Yes,,,"Before the pandemic, After the pandemic occurred",,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,,"Before the pandemic, After the pandemic occurred",,,,"Before the pandemic, After the pandemic occurred",,,About the same,About the same,About the same,About the same,I don't do this activity,About the same,About the same,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity
558,Female,Married,18 - 25,Apartment,Town,Jerusalem,Student,,Bachelor,I have no income,I have no income,No,,,,,,,,,,,,,,,,,Yes,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,,"Before the pandemic, After the pandemic occurred",,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,,,"Before the pandemic, After the pandemic occurred",,Much less,Much less,Much less,I don't do this activity,Yes,,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,,Before the pandemic,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,,,,,"Before the pandemic, After the pandemic occurred",Much less,Much less,Much less,Much less,I don't do this activity,I don't do this activity,Much less,,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity
559,Male,Married, 56 - 65,House,Town,Tulkarem,,Inside the West Bank,Master,"4,001 - 6,000 NIS",Severely decreased,Yes,No,Not one of my interests,,,,,,,,,,,,,,,No,Not one of my interests,,,,,,,,,,,,,,,,,,,Yes,,,"Before the pandemic, After the pandemic occurred",,,,"Before the pandemic, After the pandemic occurred",,,,,"Before the pandemic, After the pandemic occurred",,,,,I don't do this activity,Less often,About the same,Less often,About the same,About the same,About the same,About the same,More often,About the same,More often,About the same
560,Female,Married, 26 - 35,Apartment,City,Tulkarem,Private Sector Employee,Inside the West Bank,Master,"2,001 - 4,000 NIS",Severely decreased,No,,,,,,,,,,,,,,,,,Yes,,,"Before the pandemic, After the pandemic occurred",,,,"Before the pandemic, After the pandemic occurred",,,,,,"Before the pandemic, After the pandemic occurred",,,Much more often,Much more often,I don't do this activity,I don't do this activity,Yes,,,"Before the pandemic, After the pandemic occurred",,,,,,,,"Before the pandemic, After the pandemic occurred",,,,"Before the pandemic, After the pandemic occurred",,About the same,More often,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity
561,Female,Married, 26 - 35,House,Village,Ramallah,Student,,Bachelor,I have no income,I have no income,Yes,Yes,,,,"Before the pandemic, After the pandemic occurred",,,More often,More often,More often,More often,More often,More often,I don't do this activity,More often,I don't do this activity,Yes,,,"Before the pandemic, After the pandemic occurred",,,,,,"Before the pandemic, After the pandemic occurred",,,,,,"Before the pandemic, After the pandemic occurred",More often,Less often,I don't do this activity,I don't do this activity,No,Mainly because there is no open natural areas around and near my town,,,,,,,,,,,,,,,,,,,,,,,,,,,
562,Male,Married, 26 - 35,House,Village,Ramallah,Teacher,Inside the Greenline,Highschool or Less,"4,001 - 6,000 NIS",Decreased,No,,,,,,,,,,,,,,,,,Yes,,,"Before the pandemic, After the pandemic occurred",,,,After the pandemic occurred,,Before the pandemic,,,"Before the pandemic, After the pandemic occurred",,,,I don't do this activity,Less often,I don't do this activity,I don't do this activity,Yes,,,"Before the pandemic, After the pandemic occurred",,,,,,Before the pandemic,,,"Before the pandemic, After the pandemic occurred",,,,,,Much less,Much less,Less often,I don't do this activity,Much less,Much less,I don't do this activity,About the same,I don't do this activity,About the same,I don't do this activity
563,Male,Married,36 - 45,House,Village,Ramallah,Governmental Employee,Inside the West Bank,Highschool or Less,"Less than 2,000 NIS",Severely decreased,Yes,Yes,,After the pandemic occurred,Before the pandemic,Before the pandemic,Before the pandemic,Before the pandemic,More often,I don't do this activity,Less often,About the same,Much less,Less often,Less often,Less often,Less often,No,Because of lack of time,,,,,,,,,,,,,,,,,,,Yes,,After the pandemic occurred,Before the pandemic,Before the pandemic,Before the pandemic,Before the pandemic,,,Before the pandemic,,,Before the pandemic,,,,,I don't do this activity,Less often,Less often,I don't do this activity,I don't do this activity,Less often,I don't do this activity,I don't do this activity,Less often,Less often,Less often,About the same
564,Male,Single, 26 - 35,Apartment,City,Bethlehem,,Inside the West Bank,Bachelor,I prefer not to answer,Severely decreased,No,,,,,,,,,,,,,,,,,Yes,,"Before the pandemic, After the pandemic occurred",,,,"Before the pandemic, After the pandemic occurred",After the pandemic occurred,After the pandemic occurred,Before the pandemic,,,,,,"Before the pandemic, After the pandemic occurred",Less often,Much more often,Much more often,Much more often,Yes,,"Before the pandemic, After the pandemic occurred",,,,"Before the pandemic, After the pandemic occurred",After the pandemic occurred,After the pandemic occurred,Before the pandemic,,,,,,,"Before the pandemic, After the pandemic occurred",Much more often,Much more often,Much more often,Much more often,Much more often,I don't do this activity,Much more often,About the same,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity
565,Male,Single, 26 - 35,House,Town,Jenin,Private Sector Employee,Inside the West Bank,Bachelor,"2,001 - 4,000 NIS",Increased,Yes,Yes,,,"Before the pandemic, After the pandemic occurred",,,"Before the pandemic, After the pandemic occurred",About the same,About the same,I don't do this activity,About the same,About the same,I don't do this activity,I don't do this activity,About the same,I don't do this activity,Yes,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,,,,,"Before the pandemic, After the pandemic occurred",,,,,,"Before the pandemic, After the pandemic occurred",About the same,About the same,About the same,I don't do this activity,Yes,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,,,,,"Before the pandemic, After the pandemic occurred",,,,,,,"Before the pandemic, After the pandemic occurred",About the same,About the same,About the same,About the same,I don't do this activity,About the same,About the same,I don't do this activity,I don't do this activity,I don't do this activity,About the same,About the same
566,Female,Other,Less than 18,House,Town,Bethlehem,Student,,Highschool or Less,I have no income,I have no income,Yes,Yes,,,"Before the pandemic, After the pandemic occurred",,,,Less often,About the same,More often,I don't do this activity,Much more often,More often,More often,About the same,I don't do this activity,No,Lockdown and COVID-19 pandemic,,,,,,,,,,,,,,,,,,,No,Lockdown and COVID-19 pandemic ??No?No?,,,,,,,,,,,,,,,,,,,,,,,,,,,
567,Male,Married,36 - 45,House,Village,Ramallah,Teacher,Inside the West Bank,Bachelor,"More than 8,000 NIS",Decreased,Yes,Yes,,After the pandemic occurred,"Before the pandemic, After the pandemic occurred",Before the pandemic,Before the pandemic,Before the pandemic,More often,More often,More often,Much more often,Much more often,Much more often,About the same,More often,More often,Yes,,After the pandemic occurred,After the pandemic occurred,After the pandemic occurred,Before the pandemic,Before the pandemic,After the pandemic occurred,After the pandemic occurred,Before the pandemic,Before the pandemic,Before the pandemic,Before the pandemic,,,,More often,More often,More often,More often,Yes,,After the pandemic occurred,After the pandemic occurred,After the pandemic occurred,After the pandemic occurred,Before the pandemic,After the pandemic occurred,After the pandemic occurred,Before the pandemic,,,After the pandemic occurred,,,,,More often,More often,More often,More often,More often,More often,More often,Much more often,Much more often,Much more often,Much more often,Much more often
568,Male,Married, 26 - 35,House,Village,Ramallah,Merchant,Inside the West Bank,Highschool or Less,I prefer not to answer,The same,No,,,,,,,,,,,,,,,,,No,Mainly because there is no urban park/green/open spaces in my town,,,,,,,,,,,,,,,,,,,Yes,,,,,,"Before the pandemic, After the pandemic occurred",,,"Before the pandemic, After the pandemic occurred",,,,,,,"Before the pandemic, After the pandemic occurred",About the same,About the same,About the same,About the same,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,Much more often,I don't do this activity,Much more often,I don't do this activity
